Source,Target,Type,Id,Label,Weight
visitorfi5kl7q7i,irvuh45m6qnkpp7o,Directed,4306,,1
visitorfi5kl7q7i,hdwikicorldcisiy,Directed,4245,,1
visitorfi5kl7q7i,shopsat2dotfotbs,Directed,4235,,1
visitorfi5kl7q7i,zupyv3e5spdok6nw,Directed,4203,,1
visitorfi5kl7q7i,darkmarabrstwfuh,Directed,4189,,1
visitorfi5kl7q7i,z2gu35md7bi3ceew,Directed,4185,,1
visitorfi5kl7q7i,5zf5yc2vwcnxgugv,Directed,4163,,1
visitorfi5kl7q7i,grams7enufi7jmdl,Directed,4158,,1
visitorfi5kl7q7i,oeioei4qg23lbvew,Directed,4152,,1
visitorfi5kl7q7i,utvjqkyc4ejhzkwu,Directed,4148,,1
visitorfi5kl7q7i,mghreb4l5hdhiytu,Directed,4134,,1
visitorfi5kl7q7i,sadmand4navkfsln,Directed,4131,,1
visitorfi5kl7q7i,torlinksccquz7bi,Directed,4118,,1
visitorfi5kl7q7i,costeirazb2xecgs,Directed,4109,,1
visitorfi5kl7q7i,blkbook3fxhcsn3u,Directed,4074,,1
visitorfi5kl7q7i,linkskgiymtyszdb,Directed,4046,,1
visitorfi5kl7q7i,nttvtf6ji3fk7qvr,Directed,4024,,1
visitorfi5kl7q7i,ma3lisqktqdlg3t6,Directed,4012,,1
visitorfi5kl7q7i,54ogum7gwxhtgiya,Directed,3997,,1
visitorfi5kl7q7i,c2djzrn6qx6kupkn,Directed,3981,,1
visitorfi5kl7q7i,32avzir6unmcg2y2,Directed,3950,,1
visitorfi5kl7q7i,mucirnaewm6bumgn,Directed,3919,,1
visitorfi5kl7q7i,53nr2wn3ig7fr5ij,Directed,3896,,1
visitorfi5kl7q7i,pdizimmrq5mwjkun,Directed,3884,,1
visitorfi5kl7q7i,clockwise3rldkgu,Directed,3883,,1
visitorfi5kl7q7i,s5eqtd3hsfgu4czz,Directed,3880,,1
visitorfi5kl7q7i,hansamkt3iph6sbb,Directed,3876,,1
visitorfi5kl7q7i,xqrqbzhii6m6sdrv,Directed,3850,,1
visitorfi5kl7q7i,valhallaxmn3fydu,Directed,3824,,1
visitorfi5kl7q7i,vnioqlbi66xfqkfc,Directed,3792,,1
visitorfi5kl7q7i,xfnwyig7olypdq5r,Directed,3760,,1
visitorfi5kl7q7i,torvps7kzis5ujfz,Directed,3758,,1
visitorfi5kl7q7i,stoned3dzzhnoe4r,Directed,3727,,1
visitorfi5kl7q7i,qsl4fyr6jg4s6iij,Directed,3721,,1
visitorfi5kl7q7i,lchudifyeqm4ldjj,Directed,3699,,1
visitorfi5kl7q7i,russianyhluzsk53,Directed,3696,,1
visitorfi5kl7q7i,n2ha26oplph454e6,Directed,3659,,1
visitorfi5kl7q7i,2kka4f23pcxgqkpv,Directed,3631,,1
visitorfi5kl7q7i,psyco42cvnur3rac,Directed,3630,,1
visitorfi5kl7q7i,n7cad27hyjaqq2hu,Directed,3588,,1
visitorfi5kl7q7i,besthqdirnimrgpj,Directed,3578,,1
visitorfi5kl7q7i,mswmailgcjbye4sc,Directed,3558,,1
visitorfi5kl7q7i,telnetg42y5crrb7,Directed,3542,,1
visitorfi5kl7q7i,mobil7rab6nuf7vx,Directed,3497,,1
visitorfi5kl7q7i,ijr246luczc74cgm,Directed,3494,,1
visitorfi5kl7q7i,kcik3srgrfwbwxi2,Directed,3431,,1
visitorfi5kl7q7i,stonedbwv7q7blkb,Directed,3412,,2
visitorfi5kl7q7i,4hk4hz35gmpa6fih,Directed,3398,,1
visitorfi5kl7q7i,7sonhdf4csy6xi6j,Directed,3360,,1
visitorfi5kl7q7i,ll6lardicrvrljvq,Directed,3347,,1
visitorfi5kl7q7i,directoryvi6plzm,Directed,3342,,1
visitorfi5kl7q7i,doe6ypf2fcyznaq5,Directed,3329,,1
visitorfi5kl7q7i,facj5l7pgk6ekxgw,Directed,3290,,1
